Curso;Unidade de execução;Turno;Turma;Inscritos no turno;Turnos com capacidade superior à capacidade das características das salas;Turno com inscrições superiores à capacidade das salas;Dia da Semana;Início;Fim;Dia;Características da sala pedida para a aula;Sala da aula;Lotação;Características reais da sala
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;VERDADEIRO;FALSO;Sex;13:00:00;14:30:00;02/12/2022;Sala Aulas Mestrado;AA2.25;34;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;VERDADEIRO;FALSO;Seg;13:00:00;14:30:00;28/11/2022;Sala Aulas Mestrado;AA2.25;34;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;VERDADEIRO;FALSO;Ter;13:00:00;14:30:00;29/11/2022;Sala Aulas Mestrado;AA2.25;34;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;VERDADEIRO;FALSO;Sex;14:30:00;16:00:00;02/12/2022;Sala Aulas Mestrado;AA2.25;34;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;VERDADEIRO;FALSO;Seg;14:30:00;16:00:00;28/11/2022;Sala Aulas Mestrado;AA2.25;34;Sala/anfiteatro aulas, Horário sala visível portal público
LP;Competências Académicas I;L5205PL05;PA3;23;FALSO;FALSO;Qua;11:00:00;12:30:00;30/11/2022;Sala de Aulas normal;2E07;50;Sala/anfiteatro aulas, Horário sala visível portal público
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;FALSO;FALSO;Sex;13:00:00;14:30:00;02/12/2022;Sala/anfiteatro aulas;C5.06;70;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
DF;Investimentos II;01074TP01;DFB1;3;FALSO;FALSO;Seg;17:30:00;19:00:00;28/11/2022;Sala/anfiteatro aulas;D1.07;27;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público
DF;Investimentos II;01074TP01;DFB1;3;FALSO;FALSO;Seg;19:00:00;20:30:00;28/11/2022;Sala/anfiteatro aulas;D1.07;27;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público
LETI, LEI, LEI-PL;Cálculo I;03703TP02;EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1;52;FALSO;FALSO;Qua;13:00:00;14:30:00;30/11/2022;Sala/anfiteatro aulas;C6.10;80;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LETI, LEI, LEI-PL;Cálculo I;03703TP02;EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1;52;FALSO;FALSO;Sex;14:30:00;16:00:00;02/12/2022;Sala de Aulas normal;C6.10;80;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Arquitetura de Redes;03708T02;EI-C6, EI-C5, EI-C4, EI-C3, EI-C2, EI-C1;99;VERDADEIRO;FALSO;Seg;14:30:00;16:00:00;28/11/2022;Anfiteatro aulas;;0;
LFC;Reporte Financeiro;M8642TP01;FCC2;35;VERDADEIRO;FALSO;Qua;11:00:00;12:30:00;30/11/2022;Sala de Aulas normal;C4.06;68;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LFC;Reporte Financeiro;M8642TP01;FCC2;35;VERDADEIRO;FALSO;Qua;09:30:00;11:00:00;30/11/2022;Sala de Aulas normal;C4.06;68;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LIGE, LIGE-PL;Gestão e Sistemas de Informação nas Organizações;GSIOTP02;IGE-A9, IGE-A8, IGE-A7, IGE-A6, IGE-A5, IGE-A4, IGE-A3, IGE-A2, IGE-A12, IGE-A11, IGE-A10, IGE-A1;80;FALSO;FALSO;Ter;14:30:00;16:00:00;29/11/2022;Sala/anfiteatro aulas;Auditório 2;122;Sala/anfiteatro aulas, Horário sala visível portal público
LIGE, LIGE-PL;Gestão e Sistemas de Informação nas Organizações;GSIOTP02;IGE-A9, IGE-A8, IGE-A7, IGE-A6, IGE-A5, IGE-A4, IGE-A3, IGE-A2, IGE-A12, IGE-A11, IGE-A10, IGE-A1;80;FALSO;FALSO;Qua;16:00:00;17:30:00;30/11/2022;Sala/anfiteatro aulas;Auditório 2;122;Sala/anfiteatro aulas, Horário sala visível portal público
MIA;Teoria e História da Arquitetura II;THAIITP01;ARQ-B3, ARQ-B2, ARQ-B1;23;FALSO;FALSO;Seg;14:30:00;16:00:00;28/11/2022;Sala/anfiteatro aulas;2E07;50;Sala/anfiteatro aulas, Horário sala visível portal público
MGSS;Análise e Avaliação Económica em Saúde;03474TP02;MGSSA1;42;VERDADEIRO;FALSO;Sex;09:30:00;11:00:00;02/12/2022;Sala Aulas Mestrado;AA3.23;52;Sala/anfiteatro aulas, Horário sala visível portal público
MGSS;Análise e Avaliação Económica em Saúde;03474TP02;MGSSA1;42;VERDADEIRO;FALSO;Sex;11:00:00;12:30:00;02/12/2022;Sala Aulas Mestrado;AA3.23;52;Sala/anfiteatro aulas, Horário sala visível portal público
LETI;Electrónica Programada e Processamento Digital de Sinais;L2004TP02;ET-C6, ET-C5, ET-C4, ET-C3, ET-C2, ET-C1;58;VERDADEIRO;FALSO;Qua;13:00:00;14:30:00;30/11/2022;Sala de Aulas normal;C4.08;58;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LE;Economia da Organização Industrial;L5014PL02;EC2, EC3.1;37;VERDADEIRO;FALSO;Qua;11:00:00;12:30:00;30/11/2022;Sala de Aulas normal;2E05;50;Sala/anfiteatro aulas, Horário sala visível portal público
LGRH;Relações Laborais;RLTP01;GRHB1;47;FALSO;FALSO;Ter;08:00:00;09:30:00;29/11/2022;Sala de Aulas normal;C4.07;68;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LGRH;Relações Laborais;RLTP01;GRHB1;47;FALSO;FALSO;Qua;08:00:00;09:30:00;30/11/2022;Sala de Aulas normal;;0;
LGRH;Relações Laborais;RLTP01;GRHB1;47;FALSO;FALSO;Sex;08:00:00;09:30:00;02/12/2022;Sala/anfiteatro aulas;;0;
CIIBS, MEECult, MEGC, MMA;Marketing Cultural;01976TP02;CI-IBS-1, MEGCB1, MEGC-A2, MEGC-A1;55;VERDADEIRO;FALSO;Ter;18:00:00;20:00:00;29/11/2022;Sala Aulas Mestrado;Auditório 1;120;Sala/anfiteatro aulas, Horário sala visível portal público
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Programação Orientada para Objectos;L5315PL10;EI-B8, EI-B7, EI-B6, EI-B5;13;FALSO;FALSO;Ter;11:00:00;12:30:00;29/11/2022;Laboratório de Informática;0S02;41;Horário sala visível portal público, Laboratório de Informática
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Programação Orientada para Objectos;L5315PL10;EI-B8, EI-B7, EI-B6, EI-B5;13;FALSO;FALSO;Ter;09:30:00;11:00:00;29/11/2022;Laboratório de Informática;0S02;41;Horário sala visível portal público, Laboratório de Informática
CIESPP, MED, MEAS;Pesquisa de Terreno;M8109TP03;CI-ESPP-1;39;VERDADEIRO;FALSO;Qua;18:00:00;20:00:00;30/11/2022;Sala de Aulas normal;C5.01;58;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Bases de Dados;03724PL08;ET-B4, ET-B3, ET-B2, ET-B1;28;VERDADEIRO;FALSO;Sex;13:00:00;14:30:00;02/12/2022;Laboratório de Informática;D1.06;28;Horário sala visível portal público, Laboratório de Informática
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Bases de Dados;03724PL08;ET-B4, ET-B3, ET-B2, ET-B1;28;VERDADEIRO;FALSO;Sex;14:30:00;16:00:00;02/12/2022;Laboratório de Informática;D1.06;28;Horário sala visível portal público, Laboratório de Informática
LCP, LS, LS-PL;Análise de Dados em Ciências Sociais - Descritiva;L5400TP06;S-PL-A2;30;FALSO;VERDADEIRO;Ter;19:30:00;21:00:00;29/11/2022;Laboratório de Informática;D1.10;20;Horário sala visível portal público, Laboratório de Informática
LCP, LS, LS-PL;Análise de Dados em Ciências Sociais - Descritiva;L5400TP06;S-PL-A2;30;FALSO;VERDADEIRO;Ter;18:00:00;19:30:00;29/11/2022;Laboratório de Informática;D1.10;20;Horário sala visível portal público, Laboratório de Informática
LEI, LEI-PL;Teoria da Computação;L5103TP01;EI-B9, EI-B8, EI-B7, EI-B12, EI-B11, EI-B10;38;VERDADEIRO;FALSO;Seg;09:30:00;11:00:00;28/11/2022;Sala de Aulas normal;1E10;50;Sala/anfiteatro aulas, Horário sala visível portal público
LEI, LEI-PL;Teoria da Computação;L5103TP01;EI-B9, EI-B8, EI-B7, EI-B12, EI-B11, EI-B10;38;VERDADEIRO;FALSO;Sex;09:30:00;11:00:00;02/12/2022;Sala de Aulas normal;C4.06;68;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LIGE, LIGE-PL;Visualização e Interação Pessoa-Máquina;03738TP05;IGE-PL-C2, IGE-PL-C1;35;VERDADEIRO;FALSO;Sex;18:00:00;19:30:00;02/12/2022;Sala de Aulas normal;C4.01;52;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LIGE, LIGE-PL;Visualização e Interação Pessoa-Máquina;03738TP05;IGE-PL-C2, IGE-PL-C1;35;VERDADEIRO;FALSO;Qua;21:00:00;22:30:00;30/11/2022;Sala de Aulas normal;C4.08;58;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LSS-PL;Direito Social;00437TP01;SS-PL-A1;35;FALSO;FALSO;Qua;18:00:00;19:30:00;30/11/2022;Sala de Aulas normal;Auditório B2.04;192;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LSS-PL;Direito Social;00437TP01;SS-PL-A1;35;FALSO;FALSO;Qua;19:30:00;21:00:00;30/11/2022;Sala de Aulas normal;Auditório B2.04;192;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LCD, LCD-PL;Inteligência Artificial Simbólica para Ciência de Dados;03605TP05;CDC2;27;FALSO;FALSO;Sáb;11:00:00;12:30:00;03/12/2022;BYOD (Bring Your Own Device);D1.05;30;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público
LCD, LCD-PL;Inteligência Artificial Simbólica para Ciência de Dados;03605TP05;CDC2;27;FALSO;FALSO;Seg;14:30:00;16:00:00;28/11/2022;BYOD (Bring Your Own Device);D1.05;30;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público
LCD, LCD-PL;Inteligência Artificial Simbólica para Ciência de Dados;03605TP05;CDC2;27;FALSO;FALSO;Seg;13:00:00;14:30:00;28/11/2022;BYOD (Bring Your Own Device);D1.05;30;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público
LE, LFC, LG, LGM, LGIL;Introdução à Gestão;L0520T03;GMKA2, GMKA1, FCA3, FCA2, FCA1;150;FALSO;FALSO;Seg;13:00:00;14:30:00;28/11/2022;Sala de Aulas normal;Auditório 4;250;Sala/anfiteatro aulas, Horário sala visível portal público
MM;Gestão de Canais de Distribuição;M8516TP01;MMA2;38;VERDADEIRO;FALSO;Ter;11:00:00;12:30:00;29/11/2022;Sala Aulas Mestrado;AA2.29;50;Sala/anfiteatro aulas, Horário sala visível portal público
MM;Gestão de Canais de Distribuição;M8516TP01;MMA2;38;VERDADEIRO;FALSO;Sex;08:00:00;09:30:00;02/12/2022;Sala Aulas Mestrado;AA2.29;50;Sala/anfiteatro aulas, Horário sala visível portal público
LEI, LEI-PL;Agentes Autónomos;03727T01;EI-PL-C2, EI-PL-C1;51;FALSO;FALSO;Seg;21:00:00;22:30:00;28/11/2022;Sala de Aulas normal;C5.08;58;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LCD, LCD-PL;Inteligência Artificial Simbólica para Ciência de Dados;03605TP01;CDC1;28;FALSO;VERDADEIRO;Ter;13:00:00;14:30:00;29/11/2022;BYOD (Bring Your Own Device);D1.07;27;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público
LCD, LCD-PL;Inteligência Artificial Simbólica para Ciência de Dados;03605TP01;CDC1;28;FALSO;VERDADEIRO;Ter;14:30:00;16:00:00;29/11/2022;BYOD (Bring Your Own Device);D1.07;27;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público
LCD, LCD-PL;Inteligência Artificial Simbólica para Ciência de Dados;03605TP01;CDC1;28;FALSO;VERDADEIRO;Sex;14:30:00;16:00:00;02/12/2022;BYOD (Bring Your Own Device);D1.07;27;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público
LCD, LCD-PL;Inteligência Artificial Simbólica para Ciência de Dados;03605TP01;CDC1;28;FALSO;VERDADEIRO;Sex;13:00:00;14:30:00;02/12/2022;BYOD (Bring Your Own Device);D1.07;27;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público
LGRH;Análise de Dados em Gestão de Recursos Humanos III;03845TP01;GRHB1;48;VERDADEIRO;VERDADEIRO;Sex;11:00:00;12:30:00;02/12/2022;Laboratório de Informática;D1.01;35;Horário sala visível portal público, Laboratório de Informática
LGRH;Análise de Dados em Gestão de Recursos Humanos III;03845TP01;GRHB1;48;VERDADEIRO;VERDADEIRO;Sex;09:30:00;11:00:00;02/12/2022;Laboratório de Informática;D1.01;35;Horário sala visível portal público, Laboratório de Informática
CIESPP;Análise de Conteúdo com Programas Informáticos;M8107TP01;CI-ESPP-2;59;VERDADEIRO;VERDADEIRO;Ter;18:00:00;20:00:00;29/11/2022;Laboratório de Informática;D1.01;35;Horário sala visível portal público, Laboratório de Informática
MEI;Experiência do Utilizador e Visualização de Informação;EUVITP02;MEI-PL-A1;40;VERDADEIRO;FALSO;Seg;19:30:00;21:00:00;28/11/2022;Sala Aulas Mestrado;;0;
MEI;Experiência do Utilizador e Visualização de Informação;EUVITP02;MEI-PL-A1;40;VERDADEIRO;FALSO;Seg;18:00:00;19:30:00;28/11/2022;Sala Aulas Mestrado;;0;
LG;Finanças de Empresa;FEmpTP05;GC2;40;FALSO;VERDADEIRO;Qua;09:30:00;11:00:00;30/11/2022;Sala/anfiteatro aulas;AA3.40;30;Sala/anfiteatro aulas, Horário sala visível portal público
LG;Finanças de Empresa;FEmpTP05;GC2;40;FALSO;VERDADEIRO;Ter;09:30:00;11:00:00;29/11/2022;Sala/anfiteatro aulas;C4.02;46;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
MCP, MCTRL, MES, MEA, MPP, MS;Teorias Sociológicas;02192TP01;MSA1, MEAA1, MCPA1;30;VERDADEIRO;FALSO;Qua;18:00:00;20:00:00;30/11/2022;Sala Aulas Mestrado;AA3.24;30;Sala/anfiteatro aulas, Horário sala visível portal público
MGRHCO;Ambientes de Trabalho Saudáveis;02878TP01;MGRHCOA2, MGRHCOA1;40;VERDADEIRO;FALSO;Qua;11:00:00;12:30:00;30/11/2022;Sala Aulas Mestrado;C6.07;56;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), videoconferencia, Horário sala visível portal público
MGRHCO;Ambientes de Trabalho Saudáveis;02878TP01;MGRHCOA2, MGRHCOA1;40;VERDADEIRO;FALSO;Qua;09:30:00;11:00:00;30/11/2022;Sala Aulas Mestrado;C6.07;56;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), videoconferencia, Horário sala visível portal público
MGRHCO;Ambientes de Trabalho Saudáveis;02878TP01;MGRHCOA2, MGRHCOA1;40;VERDADEIRO;FALSO;Seg;11:00:00;12:30:00;28/11/2022;Sala Aulas Mestrado;B2.01;52;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
MGRHCO;Ambientes de Trabalho Saudáveis;02878TP01;MGRHCOA2, MGRHCOA1;40;VERDADEIRO;FALSO;Seg;09:30:00;11:00:00;28/11/2022;Sala Aulas Mestrado;B2.01;52;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
MCCTI;Culturas Digitais, Fãs e Web 2.0;01727TP01;MCCTI_A_OPT1, MCCTI_A3, MCCTI_A1;44;VERDADEIRO;FALSO;Ter;14:00:00;16:00:00;29/11/2022;Sala Aulas Mestrado;1E07;50;Sala/anfiteatro aulas, Horário sala visível portal público
LP;Percepção, Atenção e Memória;L5209TP07;PA3, PA1;59;FALSO;FALSO;Ter;11:00:00;12:30:00;29/11/2022;Sala/anfiteatro aulas;C5.06;70;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP34;IGE-PL-A2, IGE-PL-A1;49;FALSO;FALSO;Qua;19:30:00;21:00:00;30/11/2022;Sala de Aulas normal;C5.07;68;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LFC, LG, LGM, LGIL;Gestão do Marketing;L1805PL11;FCA2;34;FALSO;FALSO;Ter;14:30:00;16:00:00;29/11/2022;Sala de Aulas normal;1E06;50;Sala/anfiteatro aulas, Horário sala visível portal público
LE, LFC, LG, LGM, LGRH, LGIL;Contabilidade Financeira I;L0638PL29;GA3;43;FALSO;FALSO;Sex;09:30:00;11:00:00;02/12/2022;Sala de Aulas normal;2E10;50;Sala/anfiteatro aulas, Horário sala visível portal público
LE, LFC, LG, LGM, LGRH, LGIL;Contabilidade Financeira I;L0638PL29;GA3;43;FALSO;FALSO;Ter;09:30:00;11:00:00;29/11/2022;Sala de Aulas normal;2E10;50;Sala/anfiteatro aulas, Horário sala visível portal público
MIA;Projecto Final de Arquitectura (2020);PFAPL10;ARQ-E3;11;FALSO;FALSO;Seg;11:00:00;12:30:00;28/11/2022;Arq 3;B3.03;87;Sala de Arquitectura, Arq 3, Horário sala visível portal público
MIA;Projecto Final de Arquitectura (2020);PFAPL10;ARQ-E3;11;FALSO;FALSO;Sex;11:00:00;12:30:00;02/12/2022;Arq 3;B3.03;87;Sala de Arquitectura, Arq 3, Horário sala visível portal público
MIA;Projecto Final de Arquitectura (2020);PFAPL10;ARQ-E3;11;FALSO;FALSO;Seg;09:30:00;11:00:00;28/11/2022;Arq 3;B3.03;87;Sala de Arquitectura, Arq 3, Horário sala visível portal público
MIA;Projecto Final de Arquitectura (2020);PFAPL10;ARQ-E3;11;FALSO;FALSO;Sex;09:30:00;11:00:00;02/12/2022;Arq 3;B3.03;87;Sala de Arquitectura, Arq 3, Horário sala visível portal público
LE, LFC, LG, LGM, LGRH, LGIL;Contabilidade Financeira I;L0638PL18;GA2;41;FALSO;FALSO;Ter;11:00:00;12:30:00;29/11/2022;Sala de Aulas normal;2E08;50;Sala/anfiteatro aulas, Horário sala visível portal público
CT;Introdução ao Inglês para Negócios;01973TP01;CI-CT-01;30;VERDADEIRO;FALSO;Ter;09:30:00;11:00:00;29/11/2022;Sala de Aulas normal;2E08;50;Sala/anfiteatro aulas, Horário sala visível portal público
MIA;Projecto Final de Arquitectura (2020);PFAPL08;ARQ-E1;9;FALSO;FALSO;Seg;09:30:00;11:00:00;28/11/2022;Arq 1;B3.01;87;Sala de Arquitectura, Arq 1, Horário sala visível portal público
MIA;Projecto Final de Arquitectura (2020);PFAPL08;ARQ-E1;9;FALSO;FALSO;Sex;09:30:00;11:00:00;02/12/2022;Arq 1;B3.01;87;Sala de Arquitectura, Arq 1, Horário sala visível portal público
MIA;Projecto Final de Arquitectura (2020);PFAPL08;ARQ-E1;9;FALSO;FALSO;Sex;11:00:00;12:30:00;02/12/2022;Arq 1;B3.01;87;Sala de Arquitectura, Arq 1, Horário sala visível portal público
MIA;Projecto Final de Arquitectura (2020);PFAPL08;ARQ-E1;9;FALSO;FALSO;Seg;11:00:00;12:30:00;28/11/2022;Arq 1;B3.01;87;Sala de Arquitectura, Arq 1, Horário sala visível portal público
LFC, LG;Contabilidade de Gestão II;L0644TP07;GB2;43;VERDADEIRO;FALSO;Qua;11:00:00;12:30:00;30/11/2022;Sala de Aulas normal;1E04;50;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
MEECult, MEGC, MMA;Gestão Cultural;02124TP01;MEGC-A1;48;VERDADEIRO;FALSO;Seg;18:00:00;20:00:00;28/11/2022;Sala Aulas Mestrado;Auditório C1.04;60;Sala/anfiteatro aulas, Horário sala visível portal público
MPDRH;Seminário de Investigação em Políticas de Desenvolvimento dos Recursos Humanos;M9084S01;MPDRHB1;27;FALSO;FALSO;Seg;20:00:00;21:00:00;28/11/2022;Sala/anfiteatro aulas;C4.05;30;Sala/anfiteatro aulas, Horário sala visível portal público
MPDRH;Seminário de Investigação em Políticas de Desenvolvimento dos Recursos Humanos;M9084S01;MPDRHB1;27;FALSO;FALSO;Seg;18:00:00;20:00:00;28/11/2022;Sala/anfiteatro aulas;C4.05;30;Sala/anfiteatro aulas, Horário sala visível portal público
LA;Práticas de Trabalho Universitário;L5070PL01;LAA1;50;FALSO;FALSO;Ter;16:00:00;17:30:00;29/11/2022;Sala/anfiteatro aulas;1E07;50;Sala/anfiteatro aulas, Horário sala visível portal público
MSIAD;Desenho e Desenvolvimento de Aplicações de Business Intelligence;03756TP02;MSIAD-A1;51;VERDADEIRO;FALSO;Sex;19:30:00;21:00:00;02/12/2022;Sala Aulas Mestrado;C4.07;68;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LE;Economia da Organização Industrial;L5014PL03;EC1, EC3;40;VERDADEIRO;FALSO;Qua;09:30:00;11:00:00;30/11/2022;Sala de Aulas normal;AA3.29;50;Sala/anfiteatro aulas, Horário sala visível portal público
LS, LS-PL;Teorias Sociológicas Contemporâneas;L6103TP03;SB2, SB1;61;VERDADEIRO;VERDADEIRO;Seg;16:00:00;17:30:00;28/11/2022;Sala de Aulas normal;Auditório Silva Leal;60;Sala/anfiteatro aulas, Horário sala visível portal público
LS, LS-PL;Teorias Sociológicas Contemporâneas;L6103TP03;SB2, SB1;61;VERDADEIRO;VERDADEIRO;Seg;14:30:00;16:00:00;28/11/2022;Sala de Aulas normal;Auditório Silva Leal;60;Sala/anfiteatro aulas, Horário sala visível portal público
LGM;Marketing Intelligence;L5042TP01;GMKC1;26;FALSO;VERDADEIRO;Qua;09:30:00;11:00:00;30/11/2022;Sala de Aulas normal;C4.02;46;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LGM;Marketing Intelligence;L5042TP01;GMKC1;26;FALSO;VERDADEIRO;Ter;11:00:00;12:30:00;29/11/2022;Sala/anfiteatro aulas;C4.02;46;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LFC, LG, LGM, LGIL;Matemática;L5027PL16;GA5;53;FALSO;FALSO;Sex;14:30:00;16:00:00;02/12/2022;Sala de Aulas normal;C4.07;68;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
CIESPP;Análise de Indicadores Estatísticos;00555TP02;CI-ESPP-2;56;VERDADEIRO;VERDADEIRO;Ter;20:30:00;22:30:00;29/11/2022;Laboratório de Informática;D1.01;35;Horário sala visível portal público, Laboratório de Informática
LE;Econometria II;L0287TP02;EC2;32;FALSO;VERDADEIRO;Seg;11:00:00;12:30:00;28/11/2022;Laboratório de Informática;D1.12;27;Horário sala visível portal público, Laboratório de Informática
LE;Econometria II;L0287TP02;EC2;32;FALSO;VERDADEIRO;Ter;14:30:00;16:00:00;29/11/2022;Laboratório de Informática;D1.04;23;Horário sala visível portal público, Laboratório de Informática
LE;Econometria II;L0287TP02;EC2;32;FALSO;VERDADEIRO;Sex;11:00:00;12:30:00;02/12/2022;Laboratório de Informática;D1.11;22;Horário sala visível portal público, Laboratório de Informática
LCD, LCD-PL;Programação (1ciclo);03586TP01;CDA1;44;VERDADEIRO;FALSO;Qua;08:00:00;09:30:00;30/11/2022;Sala de Aulas normal;C6.01;60;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
GSM;Dissertação em Governação e Sustentabilidade do Mar;03465S01;MGSMB1;12;VERDADEIRO;FALSO;Ter;18:00:00;20:00:00;29/11/2022;Sala Aulas Mestrado;2E03;50;Sala/anfiteatro aulas, Horário sala visível portal público
LEI, LEI-PL;Processamento de Informação;L0779TP02;EI-C6, EI-C5, EI-C4, EI-C3, EI-C2, EI-C1;82;VERDADEIRO;FALSO;Sex;14:30:00;16:00:00;02/12/2022;Sala de Aulas normal;Auditório 1;120;Sala/anfiteatro aulas, Horário sala visível portal público
LEI, LEI-PL;Processamento de Informação;L0779TP02;EI-C6, EI-C5, EI-C4, EI-C3, EI-C2, EI-C1;82;VERDADEIRO;FALSO;Sex;16:00:00;17:30:00;02/12/2022;Sala de Aulas normal;Auditório 1;120;Sala/anfiteatro aulas, Horário sala visível portal público
LFC, LG, LGM, LGIL;Gestão do Marketing;L1805PL12;GMKA1;27;FALSO;FALSO;Qua;16:00:00;17:30:00;30/11/2022;Sala de Aulas normal;C4.01;52;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LIGE, LIGE-PL;Análise de Dados Multivariada;03734TP03;IGE-PL-B2, IGE-PL-B1;39;FALSO;FALSO;Ter;19:30:00;21:00:00;29/11/2022;Laboratório de Informática;0S02;41;Horário sala visível portal público, Laboratório de Informática
LIGE, LIGE-PL;Análise de Dados Multivariada;03734TP03;IGE-PL-B2, IGE-PL-B1;39;FALSO;FALSO;Ter;21:00:00;22:30:00;29/11/2022;Laboratório de Informática;0S02;41;Horário sala visível portal público, Laboratório de Informática
MCCTI;Práticas Discursivas;M0117TP01;MCCTI_A1;52;VERDADEIRO;FALSO;Qua;14:00:00;16:00:00;30/11/2022;Sala Aulas Mestrado;Auditório C1.04;60;Sala/anfiteatro aulas, Horário sala visível portal público
CIESPP;Intervenção em Contextos de Educação Não Formal - Princípios e Métodos;04289TP01;CI-ESPP-2;32;VERDADEIRO;FALSO;Ter;20:30:00;22:30:00;29/11/2022;Sala de Aulas normal;Auditório C1.03;70;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
CIESPP;Intervenção em Contextos de Educação Não Formal - Princípios e Métodos;04289TP01;CI-ESPP-2;32;VERDADEIRO;FALSO;Ter;18:00:00;20:00:00;29/11/2022;Sala de Aulas normal;Auditório C1.03;70;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
CIESPP;Sociologia da Violência;02122TP01;CI-ESPP-2;48;FALSO;FALSO;Qua;09:00:00;11:00:00;30/11/2022;Sala/anfiteatro aulas;Auditório B2.04;192;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LCP, LS, LS-PL;Métodos e Técnicas de Investigação: Intensivos;L5118TP02;CPB1;24;VERDADEIRO;FALSO;Seg;16:00:00;17:30:00;28/11/2022;Sala de Aulas normal;1E02;50;Sala/anfiteatro aulas, Horário sala visível portal público
LCP, LS, LS-PL;Métodos e Técnicas de Investigação: Intensivos;L5118TP02;CPB1;24;VERDADEIRO;FALSO;Seg;14:30:00;16:00:00;28/11/2022;Sala de Aulas normal;1E02;50;Sala/anfiteatro aulas, Horário sala visível portal público
LE;Informática para Economistas;04041T01;EA3, EA2, EA1;102;FALSO;FALSO;Seg;11:00:00;12:30:00;28/11/2022;Sala/anfiteatro aulas;Auditório B1.04;192;Horário sala visível portal público
MPSO;Diagnóstico e Intervenção Social e Organizacional;M8206TP02;MPSO-A2;40;VERDADEIRO;FALSO;Sex;14:00:00;16:00:00;02/12/2022;Sala Aulas Mestrado;AA3.23;52;Sala/anfiteatro aulas, Horário sala visível portal público
